state,governor,party,Twitter Handle,twitter_handle,state_abbr
Alabama,Kay Ivey,R,@GovernorKayIvey,GovernorKayIvey,AL
Alaska,Mike Dunleavy,R,@GovDunleavy,GovDunleavy,AK
Arizona,Doug Ducey,R,@dougducey,dougducey,AZ
Arkansas,Asa Hutchinson,R,@AsaHutchinson,AsaHutchinson,AR
California,Gavin Newsom,D,@GavinNewsom,GavinNewsom,CA
Colorado,Jared Polis,D,@GovofCO,GovofCO,CO
Connecticut,Ned Lamont,D,@GovNedLamont,GovNedLamont,CT
DC,Muriel Bowser (mayor),D,@MayorBowser,MayorBowser,DC
Delaware,John Carney,D,@JohnCarneyDE,JohnCarneyDE,DE
Florida,Ron DeSantis,R,@GovRonDeSantis,GovRonDeSantis,FL
Georgia,Brian Kemp,R,@BrianKempGA,BrianKempGA,GA
Hawaii,David Ige,D,@GovHawaii,GovHawaii,HI
Idaho,Brad Little,R,@GovernorLittle,GovernorLittle,ID
Illinois,J.B. Pritzker,D,@GovPritzker,GovPritzker,IL
Indiana,Eric Holcomb,R,@GovHolcomb,GovHolcomb,IN
Iowa,Kim Reynolds,R,@KimReynoldsIA,KimReynoldsIA,IA
Kansas,Laura Kelly,D,@GovLauraKelly,GovLauraKelly,KS
Kentucky,Andy Beshear,D,@GovAndyBeshear,GovAndyBeshear,KY
Louisiana,John Bel Edwards,D,@LouisianaGov,LouisianaGov,LA
Maine,Janet Mills,D,@GovJanetMills,GovJanetMills,ME
Maryland,Larry Hogan,R,@LarryHogan,LarryHogan,MD
Massachussetts,Charlie Baker,R,@MassGovernor,MassGovernor,MA
Michigan,Gretchen Whitmer,D,@GovWhitmer,GovWhitmer,MI
Minnesota,Tim Walz,D,@GovTimWalz,GovTimWalz,MN
Mississippi,Tate Reeves,R,@tatereeves,tatereeves,MS
Missouri,Mike Parson,R,@GovParsonMO,GovParsonMO,MO
Montana,Steve Bullock,D,@GovernorBullock,GovernorBullock,MT
Nebraska,Pete Ricketts,R,@GovRicketts,GovRicketts,NE
Nevada,Steve Sisolak,D,@SteveSisolak,SteveSisolak,NV
New Hampshire,Chris Sununu,R,@GovChrisSununu,GovChrisSununu,NH
New Jersey,Phil Murphy,D,@GovMurphy,GovMurphy,NJ
New Mexico,Michelle Lujan Grisham,D,@GovMLG,GovMLG,NM
New York,Andrew Cuomo,D,@NYGovCuomo,NYGovCuomo,NY
North Carolina,Roy Cooper,D,@NC_Governor,NC_Governor,NC
North Dakota,Doug Burgum,R,@DougBurgum,DougBurgum,ND
Ohio,Mike DeWine,R,@GovMikeDeWine,GovMikeDeWine,OH
Oklahoma,Kevin Stitt,R,@GovStitt,GovStitt,OK
Oregon,Kate Brown,D,@OregonGovBrown,OregonGovBrown,OR
Pennsylvania,Tom Wolf,D,@GovernorTomWolf,GovernorTomWolf,PA
Rhode Island,Gina Raimondo,D,@GinaRaimondo,GinaRaimondo,RI
South Carolina,Henry McMaster,R,@henrymcmaster,henrymcmaster,SC
South Dakota,Kristi Noem,R,@govkristinoem,govkristinoem,SD
Tennessee,Bill Lee,R,@GovBillLee,GovBillLee,TN
Texas,Greg Abbott,R,@GregAbbott_TX,GregAbbott_TX,TX
Utah,Gary Herbert,R,@GovHerbert,GovHerbert,UT
Vermont,Phil Scott,R,@GovPhilScott,GovPhilScott,VT
Virginia,Ralph Northam,D,@GovernorVA,GovernorVA,VA
Washington,Jay Inslee,D,@GovInslee,GovInslee,WA
West Virginia,Jim Justice,R,@WVGovernor,WVGovernor,WV
Wisconsin,Tony Evers,D,@GovEvers,GovEvers,WI
Wyoming,Mark Gordon,R,@GovernorGordon,GovernorGordon,WY
