state,governor,party,Twitter Handle,twitter_handle
Alabama,Kay Ivey,R,@GovernorKayIvey,GovernorKayIvey
Alaska,Mike Dunleavy,R,@GovDunleavy,GovDunleavy
Arizona,Doug Ducey,R,@dougducey,dougducey
Arkansas,Asa Hutchinson,R,@AsaHutchinson,AsaHutchinson
California,Gavin Newsom,D,@GavinNewsom,GavinNewsom
Colorado,Jared Polis,D,@GovofCO,GovofCO
Connecticut,Ned Lamont,D,@GovNedLamont,GovNedLamont
DC,Muriel Bowser (mayor),D,@MayorBowser,MayorBowser
Delaware,John Carney,D,@JohnCarneyDE,JohnCarneyDE
Florida,Ron DeSantis,R,@GovRonDeSantis,GovRonDeSantis
Georgia,Brian Kemp,R,@BrianKempGA,BrianKempGA
Hawaii,David Ige,D,@GovHawaii,GovHawaii
Idaho,Brad Little,R,@GovernorLittle,GovernorLittle
Illinois,J.B. Pritzker,D,@GovPritzker,GovPritzker
Indiana,Eric Holcomb,R,@GovHolcomb,GovHolcomb
Iowa,Kim Reynolds,R,@KimReynoldsIA,KimReynoldsIA
Kansas,Laura Kelly,D,@GovLauraKelly,GovLauraKelly
Kentucky,Andy Beshear,D,@GovAndyBeshear,GovAndyBeshear
Louisiana,John Bel Edwards,D,@LouisianaGov,LouisianaGov
Maine,Janet Mills,D,@GovJanetMills,GovJanetMills
Maryland,Larry Hogan,R,@LarryHogan,LarryHogan
Massachussetts,Charlie Baker,R,@MassGovernor,MassGovernor
Michigan,Gretchen Whitmer,D,@GovWhitmer,GovWhitmer
Minnesota,Tim Walz,D,@GovTimWalz,GovTimWalz
Mississippi,Tate Reeves,R,@tatereeves,tatereeves
Missouri,Mike Parson,R,@GovParsonMO,GovParsonMO
Montana,Steve Bullock,D,@GovernorBullock,GovernorBullock
Nebraska,Pete Ricketts,R,@GovRicketts,GovRicketts
Nevada,Steve Sisolak,D,@SteveSisolak,SteveSisolak
New Hampshire,Chris Sununu,R,@GovChrisSununu,GovChrisSununu
New Jersey,Phil Murphy,D,@GovMurphy,GovMurphy
New Mexico,Michelle Lujan Grisham,D,@GovMLG,GovMLG
New York,Andrew Cuomo,D,@NYGovCuomo,NYGovCuomo
North Carolina,Roy Cooper,D,@NC_Governor,NC_Governor
North Dakota,Doug Burgum,R,@DougBurgum,DougBurgum
Ohio,Mike DeWine,R,@GovMikeDeWine,GovMikeDeWine
Oklahoma,Kevin Stitt,R,@GovStitt,GovStitt
Oregon,Kate Brown,D,@OregonGovBrown,OregonGovBrown
Pennsylvania,Tom Wolf,D,@GovernorTomWolf,GovernorTomWolf
Puerto Rico,Wanda Vazquez Garced,NPP,@wandavazquezg,wandavazquezg
Rhode Island,Gina Raimondo,D,@GinaRaimondo,GinaRaimondo
South Carolina,Henry McMaster,R,@henrymcmaster,henrymcmaster
South Dakota,Kristi Noem,R,@govkristinoem,govkristinoem
Tennessee,Bill Lee,R,@GovBillLee,GovBillLee
Texas,Greg Abbott,R,@GregAbbott_TX,GregAbbott_TX
Utah,Gary Herbert,R,@GovHerbert,GovHerbert
Vermont,Phil Scott,R,@GovPhilScott,GovPhilScott
Virginia,Ralph Northam,D,@GovernorVA,GovernorVA
Washington,Jay Inslee,D,@GovInslee,GovInslee
West Virginia,Jim Justice,R,@WVGovernor,WVGovernor
Wisconsin,Tony Evers,D,@GovEvers,GovEvers
Wyoming,Mark Gordon,R,@GovernorGordon,GovernorGordon
